beb,9935189,8683,107,223
bec,9865950,9481,197,421
bed,9954833,10224,70,143
bee,9735731,8707,71,250
bef,9896182,7793,33,61
beg,9841407,11754,28,59
bfa,9872466,9538,29,101
bfb,9963039,10382,254,436
bfc,9796642,9721,229,313
bfd,9951290,11639,6,18
bfe,9753512,8880,186,286
bff,9829766,9475,138,254
bfg,9714403,8699,135,192
bga,9984045,9614,28,65
bgb,9662807,10590,27,67
bgc,9753312,7060,68,124
bgd,9807302,7090,107,238
bge,9973430,6777,87,144
bgf,9925328,9063,164,439
bgg,9937083,8974,40,138
caa,9934247,8958,91,286
cab,9976672,9048,126,264
cac,9596809,9349,55,239
cad,9642388,8346,320,767
cae,9998857,7944,75,195
caf,9759839,10309,18,43
cag,9704067,9693,70,156
cba,9884558,8631,98,172
cbb,9988748,9955,224,339
cbc,9988508,8784,57,104
cbd,9945555,10621,22,65
cbe,9982428,7870,206,360
cbf,9635273,9022,71,133
cbg,9948964,9599,53,168
cca,9622759,7619,123,180
ccb,9904754,9102,8,33
ccc,9961335,7795,126,212
ccd,9805990,9074,81,225
cce,9938819,7529,250,358
ccf,9950149,7948,132,238
ccg,9862818,10070,6,17
cda,9959373,8438,14,53
cdb,9707690,7793,112,284
cdc,9912171,7929,68,171
cdd,9884934,8987,144,314
cde,9592369,7940,146,265
cdf,9805558,9576,57,115
cdg,9966138,8369,136,254
cea,9851570,8461,139,304
ceb,9681870,8712,121,328
cec,9754300,9009,33,95
ced,9901161,10254,53,115
cee,9623008,9741,6,19
cef,9946863,9998,212,360
ceg,9979106,7281,99,336
cfa,9653502,8804,69,204
cfb,9952198,7551,217,317
cfc,9994141,7342,199,414
cfd,9727418,9334,120,259
cfe,9981128,8068,48,107
cff,9993341,10149,13,67
cfg,9918025,9464,421,818
cga,9902406,8642,211,466
cgb,9956525,7562,287,483
cgc,9751340,9633,159,428
cgd,9948256,7509,8,22
cge,9945581,7659,5,11
cgf,9971158,8745,136,238
cgg,9961494,8395,31,80
daa,9834918,8717,161,278
dab,9770081,9876,129,220
dac,9734127,9244,23,96
dad,9756675,9054,92,207
dae,9469775,9411,91,178
daf,9945012,6719,373,766
dag,9755016,9133,75,257
dba,9982753,8872,18,55
dbb,9871933,7650,180,356
dbc,9909497,10436,124,295
dbd,9675356,8302,60,140
dbe,9938380,10111,22,71
dbf,9855436,8874,9,28
dbg,9486327,9974,119,233
dca,9972619,8733,88,128
dcb,9949948,9727,166,318
dcc,9914478,8470,42,187
dcd,9908589,11030,215,634
dce,9842103,8597,81,123
dcf,9978740,9872,5,6
dcg,9963018,10389,15,61
dda,9825574,9043,15,38
ddb,9943200,7816,45,110
ddc,9808558,8551,42,96
ddd,9935374,10170,45,91
dde,9736596,7935,83,140
ddf,9502107,8895,203,281
ddg,9993665,9010,129,201
dea,9970114,8435,99,164
deb,9620237,10117,38,96
dec,9999851,8362,46,109
ded,9925858,9900,7,26
dee,9828308,8210,312,460
def,9775734,10520,109,167
deg,9881687,9572,113,189
dfa,9763807,9575,19,36
dfb,9907352,7557,217,379
dfc,9893952,8881,11,37
dfd,9846605,8946,131,328
dfe,9966640,9517,596,972
dff,9762942,10306,66,146
dfg,9981544,9460,23,43
dga,9920456,8026,249,424
dgb,9726100,8966,28,94
dgc,9808445,9226,374,697
dgd,9922531,9322,175,334
dge,9762195,8946,250,327
dgf,9518101,9339,135,318
dgg,9930006,9774,123,290
eaa,9952375,7916,196,261
eab,9850536,8517,267,459
eac,9916660,8842,125,241
ead,9770725,9027,91,163
eae,9979201,6622,132,295
eaf,9942927,9884,126,282
eag,9586658,9496,222,353
eba,9271172,9700,111,215
ebb,9536601,6276,110,230
ebc,9971590,8008,76,154
ebd,9458899,8770,139,213
ebe,9573903,9333,288,583
ebf,9336460,8475,89,199
ebg,9872137,8332,129,318
eca,9834529,8316,172,286
ecb,9366155,9016,25,40
ecc,9920207,8398,408,682
ecd,9884283,9363,29,102
ece,9957876,8594,147,214
ecf,9518318,10219,45,101
ecg,9592361,8211,58,88
eda,9651450,10106,81,259
edb,9737117,8314,5,8
edc,9886082,8937,150,292
edd,9649864,9377,91,213
ede,9821296,8292,60,125
edf,9458164,9656,82,210
edg,9902512,10175,23,64
eea,9953591,9403,94,272
eeb,9810143,8021,184,304
eec,9863314,7356,10,20
eed,9533907,7395,149,242
eee,9973251,9560,129,252
eef,9975327,9423,214,367
eeg,9555780,9075,136,197
efa,9942548,9132,117,253
efb,9847782,9362,86,200
efc,9990398,8905,92,236
efd,9140489,10350,137,212
efe,9645278,8326,231,374
eff,9871321,8436,28,107
efg,9920307,9503,82,128
ega,9630520,9498,238,378
egb,9914169,9172,562,1411
egc,9925646,9170,246,401
egd,9751466,8133,68,232
ege,9798395,9914,193,321
egf,9842157,8660,16,58
egg,9962949,10665,308,505
faa,9878009,8343,173,445
fab,9919245,8316,245,316
fac,9995216,8935,110,163
fad,9824026,8040,231,332
fae,9563831,9825,154,269
faf,9919355,8805,138,212
fag,9846052,9760,324,669
fba,9766482,8780,32,76
fbb,9672885,10639,192,312
fbc,9985986,9001,213,633
fbd,9981426,8014,113,300
fbe,9983979,10717,5,5
fbf,9600511,10540,68,172
fbg,9848955,9161,96,293
fca,9631919,8160,181,343
fcb,9840288,9313,185,340
fcc,9552669,8469,5,14
fcd,9835883,9231,21,47
fce,9842454,9773,9,31
fcf,9807491,9886,32,102
fcg,9909311,9537,62,172
fda,9498999,9795,294,479
fdb,9721901,8488,313,487
fdc,9840790,9497,47,274
fdd,9865034,9059,230,337
fde,9829382,8661,78,153
fdf,9873369,7650,302,473
fdg,9872905,8931,26,97
fea,9629600,8938,141,255
feb,9854088,8429,8,35
fec,9996426,10448,121,229
fed,9868355,9018,68,206
fee,9993960,9056,6,14
fef,9618077,10037,221,332
feg,9460289,9081,112,165
ffa,9840458,8227,298,531
ffb,9661290,9748,12,28
ffc,9972261,8318,179,291
ffd,9883022,9056,98,163
ffe,9834668,9483,119,259
fff,9968564,9932,35,92
ffg,9779749,8981,83,131
fga,9898421,10839,270,476
fgb,9863511,9833,24,43
fgc,9424738,8738,5,11
fgd,9940028,8845,326,731
fge,9884328,9708,102,225
fgf,9927146,7459,402,630
fgg,9848945,8901,131,260
gaa,9935571,9582,258,368
gab,9191305,9353,14,72
gac,9567590,10482,96,255
gad,9849011,8964,236,564
gae,9626866,10252,44,69
gaf,9748674,9914,51,166
gag,9856363,9128,109,213
gba,9603650,9783,63,196
gbb,9995767,8114,269,570
gbc,9653579,10727,323,470
gbd,9976137,8853,121,167
gbe,9448038,8972,5,6
gbf,9898201,8028,86,184
gbg,9824633,8773,248,479
gca,9860723,11994,7,18
gcb,9977826,9240,44,71
gcc,9660399,8727,18,59
gcd,9997634,9170,7,19
gce,9920532,10424,30,67
gcf,9646823,9195,198,279
gcg,9470487,8830,115,273
gda,9861634,9769,66,231
gdb,9728421,9163,121,218
gdc,9709365,9080,55,129
gdd,9924057,10184,7,22
gde,9937836,8961,61,195
gdf,9831422,9869,70,180
gdg,9741752,9249,26,74
gea,9914024,8611,46,96
geb,9785211,9888,207,308
gec,9972068,9660,27,42
ged,9896040,11249,5,13
gee,9578193,8885,5,13
gef,9910976,8107,118,316
geg,9956891,10624,262,427
gfa,9900510,10608,11,25
gfb,9975209,9647,6,22
gfc,9875705,8132,170,299
gfd,9757506,9721,60,203
gfe,9747388,10335,58,148
gff,9906211,9340,13,32
gfg,9981240,8111,57,178
gga,9550430,9313,115,266
ggb,9893769,9493,97,255
ggc,9644919,8292,139,254
ggd,9990219,9194,14,53
gge,9967002,9833,6,16
ggf,9940759,9138,10,28
ggg,9908493,10258,17,84
